codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02040;'0001994;339039;23/04/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;600.0;600.0
201157;02040;'0002727;339039;12/05/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;550.0;550.0
201157;02040;'0003951;339039;30/06/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;640.0;640.0
201157;02040;'0000956;339032;11/03/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PROD. FARMACEUTICOS LTDA;2359.0;2359.0
201157;02040;'0000957;339032;11/03/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PROD. FARMACEUTICOS LTDA;0.0;0.0
201157;02040;'0000958;339032;11/03/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PROD. FARMACEUTICOS LTDA;14220.7;14220.7
201157;02040;'0000959;339032;11/03/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PROD. FARMACEUTICOS LTDA;5160.0;5160.0
201157;02040;'0000960;339032;11/03/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PROD. FARMACEUTICOS LTDA;1516.41;1516.41
201157;02040;'0001615;339030;02/04/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PROD. FARMACEUTICOS LTDA;4589.85;9179.7
201157;02040;'0002791;339032;16/05/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;8967.2;26901.6
201157;02040;'0004247;339032;08/07/2025;'20226846000151;ALLMED DISTRIBUIDORA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;7680.0;7680.0
201157;02140;'0003164;339039;30/05/2025;'26678123000170;ALTIPLANO HOTEL LTDA;270.0;270.0
201157;02110;'0002612;339036;12/05/2025;'00005062026318;ALYCE MARYANA COSTA ARAUJO;771.43;771.43
201157;02120;'0001122;339039;21/03/2025;'07033618000288;ALYSSON PAULINERE TEIXEIRA MENDES;2388.0;2388.0
201157;02140;'0000625;339048;24/02/2025;'00027676765404;AMADEU BELMINO DE SOUZA;1500.0;1000.0
201157;02140;'0003982;339048;01/07/2025;'00070790939452;AMANDA DA SILVA SANTOS COSTA;300.0;300.0
201157;02140;'0002783;339048;15/05/2025;'00070475087402;AMANDA FELIX DE ANDRADE;200.0;200.0
201157;02140;'0002804;339048;19/05/2025;'00014170091442;AMANDA GENUINO DA SILVA;250.0;250.0
201157;02140;'0003499;339048;10/06/2025;'00070340802405;AMANDA TAVARES DA SILVA;1500.0;500.0
201157;02030;'0000819;339091;27/02/2025;'40970592000199;AMECC-ASSOCIAÇÃO MENORES COM CRISTO;4554.0;4554.0
201157;02030;'0000820;339091;27/02/2025;'40970592000199;AMECC-ASSOCIAÇÃO MENORES COM CRISTO;4554.0;4554.0
201157;02030;'0001009;339091;14/03/2025;'40970592000199;AMECC-ASSOCIAÇÃO MENORES COM CRISTO;4554.0;4554.0
201157;02130;'0001653;339031;03/04/2025;'00001584673451;ANA CLÁUDIA SILVA CRUZ;300.0;300.0
201157;02130;'0003833;339031;26/06/2025;'00001584673451;ANA CLÁUDIA SILVA CRUZ;200.0;200.0
201157;02140;'0002545;339048;08/05/2025;'00013779011492;ANA CLARA SOUZA DOS SANTOS;165.0;165.0
201157;02140;'0004498;339048;21/07/2025;'00032451961805;ANA CRISTINA SOUZA DOS SANTOS;200.0;200.0
201157;02110;'0002651;339036;12/05/2025;'00004372108478;ANA LUCIA REIRE GONÇALVES;771.43;771.43
201157;02140;'0004484;339048;21/07/2025;'00017046010455;ANA LUZIA RIBEIRO DA SILVA;200.0;0.0
201157;02130;'0004609;339039;24/07/2025;'50877303000165;ANA MARIA BARBOSA GALDINO;3000.0;0.0
201157;02140;'0002918;339048;23/05/2025;'00006330221448;ANA MARIA DE BRITO SANTIAGO;520.0;520.0
201157;02140;'0001530;339048;31/03/2025;'00002880780470;ANA MARIA FELIX SANTOS;500.0;500.0
201157;02110;'0002653;339036;12/05/2025;'00092785964420;ANA MARIA FIDELIS DA SILVA;771.43;771.43
201157;02140;'0002796;339048;19/05/2025;'00005618637413;ANA PAULA ALVES DOS SANTOS;300.0;300.0
201157;02140;'0002493;339048;06/05/2025;'00009763245478;ANA PAULA FERREIRA SILVA;200.0;200.0
201157;02090;'0001628;339036;03/04/2025;'00041445589400;ANALICE PEREIRA BRONZEADO;2000.0;2000.0
201157;02090;'0002344;339036;30/04/2025;'00041445589400;ANALICE PEREIRA BRONZEADO;1000.0;1000.0
201157;02090;'0003489;339036;10/06/2025;'00041445589400;ANALICE PEREIRA BRONZEADO;1000.0;1000.0
201157;02090;'0004260;339036;08/07/2025;'00041445589400;ANALICE PEREIRA BRONZEADO;1000.0;2000.0
201157;02120;'0001105;339039;21/03/2025;'51616284000186;ANDERSON LUIS PEREIRA DO NASCIMENTO;10000.0;10000.0
201157;02130;'0001645;339031;03/04/2025;'00010289187478;ANDRÉ NASCIMENTO DA SILVA;500.0;500.0
201157;02130;'0003825;339031;26/06/2025;'00010289187478;ANDRÉ NASCIMENTO DA SILVA;400.0;400.0
201157;02080;'0001621;339030;03/04/2025;'29314271000101;ANDRE BRAULIO JAPIASSU NETO;98275.0;196550.0
201157;02080;'0001623;339030;03/04/2025;'29314271000101;ANDRE BRAULIO JAPIASSU NETO;91043.6;91043.6
201157;02080;'0003853;339030;27/06/2025;'29314271000101;ANDRE BRAULIO JAPIASSU NETO;45454.5;45454.5
201157;02080;'0003869;339030;27/06/2025;'29314271000101;ANDRE BRAULIO JAPIASSU NETO;45036.8;45036.8
